customer_id,customer_name,region,signup_date
CU054,Customer_CU054,APAC,2023-07-01
CU055,Customer_CU055,North America,2023-03-31
CU056,Customer_CU056,Europe,2024-09-02
CU057,Customer_CU057,North America,2022-01-30
CU058,Customer_CU058,APAC,2024-01-26
CU059,Customer_CU059,APAC,2021-12-12
CU060,Customer_CU060,Europe,2022-07-28
CU061,Customer_CU061,Europe,2024-06-24
CU062,Customer_CU062,APAC,2023-07-13
CU063,Customer_CU063,North America,2022-06-23
CU064,Customer_CU064,LATAM,2022-11-27
CU065,Customer_CU065,LATAM,2021-05-23
CU066,Customer_CU066,LATAM,2026-01-10
CU067,Customer_CU067,Europe,2023-06-15
CU068,Customer_CU068,APAC,2022-05-04
CU069,Customer_CU069,LATAM,2023-10-21
CU070,Customer_CU070,Europe,2024-08-27
CU071,Customer_CU071,North America,2026-01-08
CU072,Customer_CU072,North America,2024-10-19
CU073,Customer_CU073,APAC,2024-03-10
CU074,Customer_CU074,Europe,2025-06-10
CU075,Customer_CU075,North America,2023-10-15
CU076,Customer_CU076,Europe,2021-10-28
CU077,Customer_CU077,LATAM,2024-12-06
CU078,Customer_CU078,North America,2022-03-07
CU079,Customer_CU079,North America,2021-08-03
CU080,Customer_CU080,North America,2022-09-10
CU081,Customer_CU081,Europe,2024-08-08
CU082,Customer_CU082,Europe,2025-03-13
CU083,Customer_CU083,LATAM,2024-08-08
CU084,Customer_CU084,APAC,2025-06-29
CU085,Customer_CU085,LATAM,2023-12-05
CU086,Customer_CU086,North America,2024-11-29
CU087,Customer_CU087,North America,2024-07-01
CU088,Customer_CU088,North America,2025-06-24
CU089,Customer_CU089,Europe,2021-08-05
CU090,Customer_CU090,North America,2022-08-27
CU091,Customer_CU091,APAC,2024-05-29
CU092,Customer_CU092,Europe,2022-02-05
CU093,Customer_CU093,APAC,2025-11-09
CU094,Customer_CU094,APAC,2025-02-09
CU095,Customer_CU095,North America,2024-09-11
CU096,Customer_CU096,LATAM,2025-12-26
CU097,Customer_CU097,LATAM,2022-05-12
CU098,Customer_CU098,LATAM,2023-08-28
CU099,Customer_CU099,LATAM,2023-08-24
CU100,Customer_CU100,APAC,2024-03-31
CU101,Customer_CU101,North America,2022-04-22
CU102,Customer_CU102,Europe,2022-08-26
CU103,Customer_CU103,APAC,2022-06-24
CU104,Customer_CU104,Europe,2022-09-18
CU105,Customer_CU105,Europe,2023-06-28
CU106,Customer_CU106,LATAM,2024-10-20
CU107,Customer_CU107,Europe,2023-06-25
CU108,Customer_CU108,Europe,2025-05-13
CU109,Customer_CU109,APAC,2023-11-01
CU110,Customer_CU110,APAC,2025-11-27
CU111,Customer_CU111,APAC,2025-11-11
CU112,Customer_CU112,LATAM,2023-08-12
CU113,Customer_CU113,North America,2025-02-13
CU114,Customer_CU114,Europe,2021-10-15
CU115,Customer_CU115,LATAM,2023-08-21
CU116,Customer_CU116,APAC,2025-09-04
CU117,Customer_CU117,LATAM,2024-12-17
CU118,Customer_CU118,North America,2025-12-09
CU119,Customer_CU119,LATAM,2025-12-14
CU120,Customer_CU120,APAC,2025-11-09
CU121,Customer_CU121,APAC,2023-03-23
CU122,Customer_CU122,North America,2022-03-25
CU123,Customer_CU123,Europe,2021-11-22
CU124,Customer_CU124,APAC,2021-11-19
CU125,Customer_CU125,APAC,2024-08-18
CU126,Customer_CU126,LATAM,2022-08-18
CU127,Customer_CU127,North America,2021-12-11
CU128,Customer_CU128,LATAM,2021-04-23
CU129,Customer_CU129,Europe,2024-11-08
CU130,Customer_CU130,LATAM,2021-02-18
CU131,Customer_CU131,LATAM,2024-05-26
CU132,Customer_CU132,APAC,2025-12-09
CU133,Customer_CU133,North America,2021-10-09
CU134,Customer_CU134,LATAM,2021-07-23
CU135,Customer_CU135,APAC,2021-11-21
CU136,Customer_CU136,LATAM,2022-01-02
CU137,Customer_CU137,North America,2024-01-26
CU138,Customer_CU138,APAC,2022-12-22
CU139,Customer_CU139,Europe,2023-03-30
CU140,Customer_CU140,APAC,2023-12-08
CU141,Customer_CU141,Europe,2024-04-25
CU142,Customer_CU142,Europe,2026-01-10
CU143,Customer_CU143,Europe,2022-06-22
CU144,Customer_CU144,APAC,2025-07-05
CU145,Customer_CU145,North America,2025-01-27
CU146,Customer_CU146,LATAM,2021-11-23
CU147,Customer_CU147,APAC,2025-11-30
CU148,Customer_CU148,North America,2025-04-24
CU149,Customer_CU149,Europe,2021-06-29
CU150,Customer_CU150,LATAM,2023-12-21
