case_id,created_at,closed_at,customer_id,agent_id,category,priority,status
C0035,2025-02-24T00:42:17.144462,2025-03-01T15:42:17.144462,CU088,AG013,Account,Medium,Open
C0036,2025-04-04T18:13:02.144462,2025-04-12T04:13:02.144462,CU057,AG020,Technical,Medium,On Hold
C0037,2024-12-11T06:42:17.144462,2024-12-16T09:42:17.144462,CU096,AG014,Other,Low,In Progress
C0038,2025-02-27T09:34:12.144462,2025-03-07T22:34:12.144462,CU106,AG006,Technical,Urgent,Open
C0039,2025-11-06T06:44:51.144462,2025-11-14T06:44:51.144462,CU050,AG018,Account,High,In Progress
C0040,2025-07-04T11:54:14.144462,,CU025,AG016,Account,Medium,On Hold
C0041,2025-01-21T07:16:07.144462,2025-01-22T08:16:07.144462,CU148,AG004,Billing,Medium,Open
C0042,2025-08-26T19:50:31.144462,,CU072,AG032,Technical,Low,Open
C0043,2026-01-20T22:21:31.144462,,CU091,AG016,Billing,High,Open
C0044,2025-03-11T12:56:03.144462,2025-03-11T20:56:03.144462,CU139,AG033,Account,Low,On Hold
C0045,2025-02-06T12:57:44.144462,,CU002,AG039,Billing,Medium,In Progress
C0046,2025-07-09T08:49:57.144462,2025-07-13T11:49:57.144462,CU066,AG009,Other,Urgent,On Hold
C0047,2026-01-15T14:40:05.144462,2026-01-23T05:40:05.144462,CU141,AG003,Other,Urgent,In Progress
C0048,2025-03-13T13:52:01.144462,2025-03-17T23:52:01.144462,CU060,AG012,Billing,Urgent,Open
C0049,2025-03-17T17:56:07.144462,2025-03-21T22:56:07.144462,CU123,AG028,Other,Urgent,In Progress
C0050,2026-01-17T10:07:58.144462,2026-01-22T18:07:58.144462,CU109,AG031,Billing,Medium,On Hold
C0051,2025-01-24T00:40:50.144462,2025-01-25T21:40:50.144462,CU028,AG025,Billing,High,On Hold
C0052,2025-06-24T00:42:44.144462,2025-06-30T10:42:44.144462,CU059,AG027,Other,Urgent,In Progress
C0053,2025-08-07T02:45:41.144462,2025-08-09T03:45:41.144462,CU137,AG016,Other,Urgent,In Progress
C0054,2024-12-03T23:14:34.144462,2024-12-06T09:14:34.144462,CU130,AG023,Billing,Urgent,Open
C0055,2026-01-24T01:12:00.144462,2026-01-26T04:12:00.144462,CU088,AG030,Technical,Urgent,In Progress
C0056,2026-01-12T09:07:24.144462,,CU063,AG011,Account,High,On Hold
C0057,2024-10-21T15:05:36.144462,,CU016,AG038,Other,Urgent,Closed
C0058,2024-08-27T02:16:53.144462,2024-09-01T00:16:53.144462,CU063,AG006,Other,Medium,On Hold
C0059,2025-08-15T03:49:31.144462,2025-08-15T09:49:31.144462,CU001,AG039,Technical,High,Closed
C0060,2024-10-14T03:39:12.144462,2024-10-23T14:39:12.144462,CU042,AG004,Billing,High,On Hold
C0061,2025-10-23T16:17:11.144462,2025-10-31T09:17:11.144462,CU013,AG007,Account,Urgent,Open
C0062,2025-12-06T11:22:25.144462,2025-12-12T14:22:25.144462,CU096,AG014,Other,High,On Hold
C0063,2025-05-03T06:51:44.144462,2025-05-04T05:51:44.144462,CU069,AG010,Account,Low,On Hold
C0064,2025-05-10T21:50:30.144462,2025-05-12T15:50:30.144462,CU137,AG014,Technical,High,On Hold
C0065,2025-06-27T17:07:14.144462,2025-07-02T14:07:14.144462,CU122,AG033,Billing,Urgent,On Hold
C0066,2025-12-20T08:29:51.144462,2025-12-23T20:29:51.144462,CU028,AG014,Other,Medium,In Progress
C0067,2025-10-02T21:05:24.144462,,CU061,AG019,Other,High,Open
C0068,2025-06-16T11:01:50.144462,,CU035,AG016,Account,Low,Open
C0069,2024-08-30T06:02:51.144462,2024-09-02T09:02:51.144462,CU039,AG002,Technical,High,On Hold
C0070,2025-05-15T05:54:32.144462,2025-05-23T04:54:32.144462,CU095,AG040,Billing,Low,Closed
C0071,2024-10-02T04:30:11.144462,2024-10-04T08:30:11.144462,CU131,AG018,Technical,Urgent,Open
C0072,2025-05-24T01:17:54.144462,2025-06-02T19:17:54.144462,CU081,AG030,Technical,Medium,Open
C0073,2024-11-13T13:29:59.144462,,CU146,AG023,Billing,High,Open
C0074,2026-01-08T02:08:05.144462,2026-01-14T11:08:05.144462,CU050,AG015,Technical,Medium,In Progress
C0075,2025-05-15T22:09:34.144462,2025-05-20T08:09:34.144462,CU126,AG006,Billing,Medium,Closed
C0076,2025-02-21T23:27:37.144462,2025-02-24T11:27:37.144462,CU146,AG002,Other,Low,In Progress
C0077,2025-02-09T19:35:54.144462,2025-02-12T13:35:54.144462,CU038,AG027,Billing,High,Open
C0078,2024-11-30T17:36:33.144462,2024-12-07T01:36:33.144462,CU017,AG001,Other,Medium,In Progress
C0079,2025-01-27T01:23:21.144462,2025-02-01T20:23:21.144462,CU021,AG004,Account,High,In Progress
C0080,2024-09-14T21:55:17.144462,2024-09-19T07:55:17.144462,CU031,AG021,Technical,Medium,Open
C0081,2024-08-27T23:27:21.144462,2024-09-03T21:27:21.144462,CU131,AG040,Account,Medium,Open
C0082,2024-08-29T04:02:30.144462,,CU048,AG039,Technical,Urgent,In Progress
C0083,2025-12-01T02:04:43.144462,2025-12-08T03:04:43.144462,CU090,AG017,Other,High,On Hold
C0084,2024-10-16T12:09:04.144462,,CU098,AG035,Other,Urgent,In Progress
C0085,2025-05-21T02:23:56.144462,2025-05-21T11:23:56.144462,CU017,AG036,Technical,Urgent,Open
C0086,2025-06-20T18:51:53.144462,2025-06-21T18:51:53.144462,CU005,AG020,Technical,Low,Closed
C0087,2025-06-07T03:08:01.144462,2025-06-09T05:08:01.144462,CU141,AG010,Billing,Low,On Hold
C0088,2024-08-26T16:42:40.144462,2024-08-31T06:42:40.144462,CU097,AG029,Other,Low,In Progress
C0089,2025-08-12T10:43:24.144462,2025-08-21T01:43:24.144462,CU032,AG040,Account,Urgent,On Hold
C0090,2025-09-21T06:16:06.144462,2025-09-24T02:16:06.144462,CU011,AG003,Billing,Medium,Open
C0091,2025-02-07T05:58:01.144462,2025-02-14T01:58:01.144462,CU090,AG007,Technical,Low,On Hold
C0092,2025-07-27T05:58:46.144462,2025-07-27T21:58:46.144462,CU035,AG009,Account,High,Closed
C0093,2025-10-06T16:00:30.144462,2025-10-06T19:00:30.144462,CU111,AG026,Billing,Medium,On Hold
C0094,2025-04-05T11:25:39.144462,2025-04-08T21:25:39.144462,CU051,AG007,Technical,Medium,Closed
C0095,2025-02-27T09:51:21.144462,2025-03-01T18:51:21.144462,CU112,AG010,Billing,High,Open
C0096,2025-07-14T18:51:23.144462,2025-07-22T20:51:23.144462,CU017,AG005,Account,Low,Open
C0097,2025-02-13T18:18:33.144462,2025-02-17T09:18:33.144462,CU014,AG037,Other,High,Closed
C0098,2025-04-10T21:30:45.144462,2025-04-17T16:30:45.144462,CU104,AG033,Account,Urgent,On Hold
C0099,2024-12-15T04:48:45.144462,2024-12-23T13:48:45.144462,CU015,AG001,Billing,Urgent,On Hold
C0100,2024-08-26T04:36:18.144462,2024-09-04T16:36:18.144462,CU133,AG016,Technical,Low,In Progress
C0101,2024-12-25T17:03:40.144462,,CU076,AG015,Other,Low,On Hold
C0102,2025-07-05T12:13:13.144462,,CU078,AG012,Billing,Medium,Closed
C0103,2025-02-27T16:06:40.144462,,CU065,AG014,Other,Urgent,In Progress
C0104,2025-10-12T00:20:28.144462,2025-10-14T08:20:28.144462,CU141,AG004,Technical,High,Closed
C0105,2024-10-03T10:32:45.144462,2024-10-04T10:32:45.144462,CU029,AG009,Account,High,On Hold
C0106,2025-11-08T11:24:19.144462,2025-11-09T17:24:19.144462,CU049,AG024,Technical,Urgent,On Hold
C0107,2025-02-09T20:19:21.144462,2025-02-19T17:19:21.144462,CU075,AG036,Other,Medium,On Hold
C0108,2025-09-23T01:03:56.144462,,CU042,AG012,Technical,Medium,Closed
C0109,2025-06-06T21:48:59.144462,2025-06-06T22:48:59.144462,CU090,AG007,Account,High,Open
C0110,2025-10-08T14:10:47.144462,2025-10-09T21:10:47.144462,CU040,AG007,Account,High,Closed
C0111,2025-09-24T20:43:25.144462,2025-09-28T11:43:25.144462,CU149,AG017,Account,Low,In Progress
C0112,2024-09-20T05:13:52.144462,2024-09-27T18:13:52.144462,CU050,AG021,Other,Medium,On Hold
C0113,2024-09-04T05:15:03.144462,2024-09-07T08:15:03.144462,CU089,AG034,Billing,Low,On Hold
C0114,2025-10-18T14:34:18.144462,2025-10-24T06:34:18.144462,CU088,AG004,Account,Medium,Open
C0115,2025-05-21T17:30:08.144462,2025-05-25T01:30:08.144462,CU067,AG019,Billing,Urgent,Open
C0116,2025-01-10T04:57:11.144462,2025-01-15T16:57:11.144462,CU071,AG002,Account,Medium,On Hold
C0117,2025-01-10T07:35:44.144462,2025-01-18T23:35:44.144462,CU150,AG023,Billing,Medium,On Hold
C0118,2024-09-12T00:11:42.144462,2024-09-14T14:11:42.144462,CU005,AG002,Account,Urgent,In Progress
C0119,2025-08-27T05:26:17.144462,2025-08-31T15:26:17.144462,CU103,AG016,Account,Low,On Hold
C0120,2025-05-25T07:09:57.144462,,CU041,AG010,Other,Medium,Closed
C0121,2025-10-01T19:11:11.144462,2025-10-09T12:11:11.144462,CU042,AG005,Other,Medium,Closed
C0122,2025-01-05T09:14:41.144462,2025-01-05T18:14:41.144462,CU078,AG014,Other,Medium,In Progress
C0123,2025-01-11T09:06:44.144462,,CU023,AG034,Account,High,Open
C0124,2025-08-26T17:16:31.144462,2025-09-04T08:16:31.144462,CU009,AG025,Other,Medium,Open
C0125,2024-11-19T06:27:21.144462,,CU011,AG025,Technical,Urgent,Closed
C0126,2025-06-07T17:43:57.144462,2025-06-13T21:43:57.144462,CU090,AG031,Other,Medium,In Progress
C0127,2024-09-25T20:22:49.144462,2024-09-26T07:22:49.144462,CU119,AG029,Other,Low,Closed
C0128,2025-11-19T23:48:51.144462,2025-11-26T02:48:51.144462,CU050,AG030,Technical,Urgent,Open
C0129,2025-03-16T13:45:04.144462,2025-03-19T20:45:04.144462,CU032,AG033,Billing,Low,Open
C0130,2025-07-30T07:47:52.144462,2025-08-01T10:47:52.144462,CU081,AG020,Technical,Urgent,Closed
C0131,2025-05-01T09:00:39.144462,2025-05-02T19:00:39.144462,CU032,AG012,Other,High,Open
C0132,2025-12-18T18:11:19.144462,2025-12-21T05:11:19.144462,CU043,AG030,Account,Urgent,In Progress
C0133,2025-05-28T10:03:19.144462,2025-06-05T09:03:19.144462,CU085,AG005,Technical,Low,Closed
C0134,2024-12-14T07:19:11.144462,2024-12-24T07:19:11.144462,CU008,AG018,Billing,Urgent,On Hold
C0135,2025-02-05T08:27:23.144462,2025-02-07T18:27:23.144462,CU022,AG008,Technical,Low,In Progress
C0136,2024-12-14T07:28:48.144462,2024-12-15T00:28:48.144462,CU024,AG033,Technical,Medium,Open
C0137,2025-04-27T14:25:50.144462,2025-04-30T02:25:50.144462,CU130,AG012,Technical,Low,In Progress
C0138,2025-02-22T23:27:35.144462,2025-02-26T21:27:35.144462,CU047,AG013,Billing,High,Open
C0139,2025-12-26T04:28:34.144462,2025-12-27T18:28:34.144462,CU045,AG003,Other,Low,Closed
C0140,2024-09-08T09:21:28.144462,,CU089,AG038,Other,Urgent,On Hold
C0141,2025-12-21T13:46:55.144462,,CU036,AG011,Account,Low,Closed
C0142,2025-09-17T04:44:49.144462,2025-09-19T11:44:49.144462,CU055,AG007,Account,Low,Open
C0143,2024-08-31T17:09:56.144462,2024-09-02T13:09:56.144462,CU110,AG002,Technical,Urgent,In Progress
C0144,2024-10-01T17:05:42.144462,2024-10-03T20:05:42.144462,CU112,AG013,Account,Medium,Closed
C0145,2025-10-07T12:07:45.144462,2025-10-10T23:07:45.144462,CU143,AG007,Account,Medium,On Hold
C0146,2025-04-07T07:07:11.144462,2025-04-10T15:07:11.144462,CU043,AG022,Account,Urgent,Closed
C0147,2024-12-05T23:55:14.144462,2024-12-13T11:55:14.144462,CU102,AG024,Account,Urgent,Closed
C0148,2025-06-09T14:40:20.144462,2025-06-16T06:40:20.144462,CU018,AG040,Account,Medium,Closed
C0149,2025-02-11T03:38:16.144462,2025-02-16T16:38:16.144462,CU038,AG030,Billing,Urgent,In Progress
C0150,2024-11-08T20:27:36.144462,,CU011,AG007,Other,High,Open
C0151,2025-10-31T16:21:12.144462,2025-11-02T18:21:12.144462,CU130,AG010,Account,Low,Open
C0152,2026-02-03T06:55:53.144462,2026-02-07T07:55:53.144462,CU004,AG010,Account,High,Closed
C0153,2025-04-02T02:19:42.144462,,CU085,AG004,Other,Medium,In Progress
C0154,2024-12-06T23:26:43.144462,2024-12-11T21:26:43.144462,CU125,AG024,Technical,Urgent,On Hold
C0155,2024-10-16T04:37:17.144462,,CU046,AG033,Other,High,On Hold
C0156,2025-12-11T03:46:59.144462,2025-12-14T21:46:59.144462,CU044,AG003,Technical,High,Closed
C0157,2025-09-27T07:04:30.144462,2025-09-28T07:04:30.144462,CU102,AG011,Technical,High,Closed
C0158,2025-06-26T21:02:01.144462,2025-06-27T08:02:01.144462,CU104,AG025,Account,Medium,Closed
C0159,2025-08-26T07:34:05.144462,2025-08-29T02:34:05.144462,CU016,AG039,Technical,Medium,In Progress
C0160,2024-09-02T21:59:36.144462,2024-09-07T03:59:36.144462,CU143,AG006,Other,Medium,Closed
C0161,2025-05-11T16:48:43.144462,2025-05-17T06:48:43.144462,CU045,AG005,Other,High,Open
C0162,2026-01-17T02:47:24.144462,2026-01-18T01:47:24.144462,CU012,AG004,Other,High,On Hold
C0163,2025-01-13T08:27:36.144462,2025-01-22T16:27:36.144462,CU116,AG027,Account,Low,Closed
C0164,2026-01-05T00:43:20.144462,,CU057,AG016,Billing,Medium,On Hold
C0165,2025-11-07T17:50:44.144462,,CU074,AG013,Technical,High,On Hold
C0166,2024-12-19T05:35:12.144462,,CU076,AG039,Account,Medium,In Progress
C0167,2025-05-26T09:40:50.144462,2025-06-05T02:40:50.144462,CU120,AG019,Billing,Low,In Progress
C0168,2024-11-15T16:58:52.144462,,CU065,AG011,Account,Low,In Progress
C0169,2024-08-25T00:59:12.144462,2024-09-03T10:59:12.144462,CU047,AG023,Other,Medium,On Hold
C0170,2025-09-04T15:03:15.144462,2025-09-07T06:03:15.144462,CU074,AG032,Other,Medium,On Hold
C0171,2024-12-03T09:19:57.144462,,CU121,AG037,Billing,High,In Progress
C0172,2025-03-06T02:41:04.144462,2025-03-09T18:41:04.144462,CU056,AG038,Other,Low,On Hold
C0173,2026-01-05T21:39:33.144462,2026-01-12T16:39:33.144462,CU113,AG031,Other,Urgent,Open
C0174,2024-09-29T19:35:26.144462,2024-10-09T14:35:26.144462,CU009,AG010,Account,High,In Progress
C0175,2025-10-09T18:06:24.144462,2025-10-12T14:06:24.144462,CU046,AG027,Billing,High,On Hold
C0176,2025-06-09T16:44:02.144462,2025-06-18T22:44:02.144462,CU096,AG002,Billing,Medium,Closed
C0177,2025-03-03T12:05:39.144462,2025-03-04T10:05:39.144462,CU136,AG030,Account,Medium,On Hold
C0178,2025-12-25T12:55:51.144462,2026-01-04T08:55:51.144462,CU009,AG024,Technical,Low,On Hold
C0179,2024-12-20T10:16:34.144462,2024-12-27T21:16:34.144462,CU126,AG004,Billing,High,Open
C0180,2024-12-09T07:15:26.144462,2024-12-12T00:15:26.144462,CU048,AG030,Account,High,In Progress
C0181,2025-01-30T02:07:53.144462,2025-02-05T07:07:53.144462,CU124,AG012,Account,Urgent,On Hold
C0182,2024-12-25T00:03:02.144462,2024-12-30T16:03:02.144462,CU084,AG031,Billing,Medium,On Hold
C0183,2025-11-26T08:50:51.144462,2025-11-27T08:50:51.144462,CU117,AG004,Technical,High,On Hold
C0184,2025-01-01T10:01:54.144462,,CU119,AG033,Other,Medium,Closed
C0185,2024-10-27T04:50:20.144462,,CU103,AG030,Account,Urgent,Open
C0186,2025-11-15T05:22:31.144462,2025-11-22T01:22:31.144462,CU055,AG019,Other,Medium,In Progress
C0187,2025-08-30T05:16:03.144462,,CU142,AG040,Account,Low,Open
C0188,2025-04-05T04:33:19.144462,,CU076,AG029,Other,Urgent,Open
C0189,2025-02-07T18:17:39.144462,2025-02-09T10:17:39.144462,CU031,AG026,Billing,High,In Progress
C0190,2024-09-16T05:06:08.144462,,CU010,AG017,Technical,High,Closed
C0191,2026-01-19T20:27:16.144462,2026-01-20T12:27:16.144462,CU064,AG013,Technical,Low,In Progress
C0192,2025-11-10T10:47:54.144462,2025-11-14T16:47:54.144462,CU141,AG006,Account,High,Open
C0193,2025-05-24T05:53:21.144462,2025-05-28T16:53:21.144462,CU050,AG023,Account,Medium,Closed
C0194,2025-08-13T09:30:28.144462,2025-08-14T13:30:28.144462,CU139,AG035,Account,High,Closed
C0195,2025-07-05T08:49:43.144462,2025-07-14T23:49:43.144462,CU018,AG035,Other,Medium,On Hold
C0196,2025-04-16T01:07:26.144462,,CU052,AG013,Other,Medium,In Progress
C0197,2025-04-18T11:35:40.144462,2025-04-27T18:35:40.144462,CU086,AG002,Technical,Low,On Hold
C0198,2024-11-03T08:34:03.144462,2024-11-09T13:34:03.144462,CU143,AG018,Other,Low,Open
C0199,2025-09-13T09:13:13.144462,2025-09-20T17:13:13.144462,CU009,AG026,Other,Medium,Open
C0200,2025-03-22T18:55:03.144462,2025-03-25T15:55:03.144462,CU079,AG026,Other,Urgent,In Progress
